strategy,symbol,asset,start_date,end_date,trading_days,years,total_return,cagr,volatility_ann,sharpe,max_drawdown,final_equity,bnh_total_return,bnh_cagr,bnh_volatility_ann,bnh_sharpe,bnh_max_drawdown,delta_total_return,delta_cagr,delta_volatility,delta_sharpe,delta_max_drawdown,beats_total_return,beats_cagr,beats_volatility,beats_sharpe,beats_max_drawdown,composite_score
ema_crossover,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,336.28,7.62,14.44,0.582,-31.56,436277.4,491.65,9.26,18.23,0.578,-45.56,-155.38,-1.65,3.79,0.004,13.99,False,False,True,True,True,8.6
ema_crossover,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,194.05,5.52,25.79,0.341,-68.69,294049.26,389.5,8.24,33.17,0.408,-76.28,-195.45,-2.71,7.38,-0.067,7.59,False,False,True,False,True,5.8
ema_crossover,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,16132.19,54.24,45.5,0.886,-76.53,16232185.65,14416.09,52.78,55.37,0.807,-83.4,1716.1,1.46,9.87,0.079,6.87,True,True,True,True,True,6.0
fibonacci_retracement,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,17.36,0.8,13.96,0.127,-45.71,117359.42,488.54,9.24,19.52,0.551,-56.78,-471.18,-8.43,5.56,-0.424,11.07,False,False,True,False,True,2.0
fibonacci_retracement,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,72.68,2.76,15.99,0.251,-41.79,172684.76,1090.86,13.14,22.15,0.669,-55.63,-1018.18,-10.38,6.16,-0.419,13.84,False,False,True,False,True,2.8
fibonacci_retracement,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,65.63,2.55,11.15,0.281,-37.38,165630.3,491.65,9.26,18.23,0.578,-45.56,-426.02,-6.72,7.08,-0.297,8.17,False,False,True,False,True,2.8
fibonacci_retracement,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,107.15,3.7,21.66,0.277,-60.52,207145.79,389.5,8.24,33.17,0.408,-76.28,-282.35,-4.54,11.5,-0.131,15.76,False,False,True,False,True,4.8
fibonacci_retracement,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,-46.8,-5.23,37.02,0.089,-86.2,53196.36,14416.09,52.78,55.37,0.807,-83.4,-14462.89,-58.01,18.35,-0.719,-2.8,False,False,True,False,False,2.6
macd_crossover,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,108.28,3.72,11.35,0.379,-24.72,208276.92,488.54,9.24,19.52,0.551,-56.78,-380.26,-5.51,8.17,-0.172,32.05,False,False,True,False,True,6.6
macd_crossover,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,178.11,5.23,13.32,0.45,-33.28,278113.31,1090.86,13.14,22.15,0.669,-55.63,-912.75,-7.91,8.84,-0.219,22.35,False,False,True,False,True,5.8
macd_crossover,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,173.8,5.15,12.87,0.455,-22.4,273801.64,491.65,9.26,18.23,0.578,-45.56,-317.85,-4.12,5.36,-0.123,23.16,False,False,True,False,True,8.6
macd_crossover,SLV,Silver ETF,2006-05-22,2026-06-15,5048,20.0,271.35,6.76,23.92,0.396,-46.64,371353.85,389.5,8.24,33.17,0.408,-76.28,-118.14,-1.48,9.25,-0.012,29.64,False,False,True,False,True,8.8
macd_crossover,BTC-USD,Bitcoin,2014-09-17,2026-06-16,4291,17.0,35584.25,64.94,37.55,1.105,-49.98,35684246.13,14416.09,52.78,55.37,0.807,-83.4,21168.16,12.16,17.82,0.298,33.42,True,True,True,True,True,10.6
mean_reversion_zscore,^GSPC,S&P 500,2006-05-22,2026-06-15,5048,20.0,89.67,3.24,14.28,0.295,-33.28,189669.72,488.54,9.24,19.52,0.551,-56.78,-398.87,-5.99,5.24,-0.256,23.49,False,False,True,False,True,2.6
mean_reversion_zscore,^IXIC,Nasdaq,2006-05-22,2026-06-15,5048,20.0,43.59,1.82,15.88,0.193,-39.77,143585.81,1090.86,13.14,22.15,0.669,-55.63,-1047.28,-11.32,6.28,-0.476,15.86,False,False,True,False,True,2.8
mean_reversion_zscore,GLD,Gold ETF,2006-05-22,2026-06-15,5048,20.0,69.69,2.67,10.12,0.311,-23.41,169689.19,491.65,9.26,18.23,0.578,-45.56,-421.96,-6.59,8.11,-0.267,22.15,False,False,True,False,True,5.4
